"","X","Y","Z"
"1",332.035888671875,82.4025650024414,34.3735885620117
"2",332.799591064453,81.7417831420898,35.2956314086914
"3",322.587615966797,79.5465469360352,37.1381492614746
"4",321.9296875,79.5435562133789,37.219554901123
"5",321.265075683594,79.5426330566406,37.3142585754395
"6",298.767547607422,81.0237426757812,39.9668045043945
"7",295.968322753906,81.1194305419922,40.0068283081055
"8",332.905181884766,81.0263519287109,36.2802772521973
"9",295.331115722656,81.6825561523438,40.0561790466309
"10",295.376953125,82.2548370361328,40.0915107727051
"11",295.451141357422,83.3905487060547,40.1974220275879
"12",294.8603515625,83.9358596801758,40.2732162475586
"13",294.238037109375,84.4736175537109,40.349250793457
"14",292.998260498047,85.5879745483398,40.565673828125
"15",347.296325683594,77.2700805664062,37.0827751159668
"16",325.282684326172,77.59130859375,37.7175445556641
"17",324.602294921875,77.6165008544922,37.7451972961426
"18",323.982055664062,78.2865905761719,37.8397674560547
"19",323.345275878906,78.9423599243164,37.9481506347656
"20",320.703430175781,79.5945587158203,38.2792205810547
"21",320.040985107422,79.6193542480469,38.3814811706543
"22",319.392578125,79.6454620361328,38.4933624267578
"23",318.738677978516,79.7096176147461,38.620662689209
"24",318.092254638672,79.7542190551758,38.7538719177246
"25",317.471832275391,79.8347473144531,38.8901214599609
"26",316.87353515625,79.9249572753906,39.0532569885254
"27",316.273712158203,80.0232315063477,39.2077560424805
"28",298.966644287109,80.5821990966797,40.6939163208008
"29",333.109283447266,80.3042602539062,37.2881660461426
"30",299.688385009766,81.1656265258789,40.7273216247559
"31",298.208892822266,81.2365798950195,40.7420845031738
"32",296.789642333984,81.2853927612305,40.759334564209
"33",298.904998779297,81.8056869506836,40.763801574707
"34",294.885803222656,82.977653503418,40.9308586120605
"35",293.799652099609,85.1866836547852,41.2395248413086
"36",346.42431640625,78.5715408325195,38.3092422485352
"37",340.184814453125,77.6779327392578,37.6425361633301
"38",330.265930175781,77.5373229980469,38.4512557983398
"39",329.554504394531,77.5551528930664,38.5105133056641
"40",328.863128662109,77.5796737670898,38.5734901428223
"41",328.172332763672,77.6143798828125,38.6077575683594
"42",326.135284423828,77.6371002197266,38.6857414245605
"43",326.828765869141,78.3141021728516,38.7139701843262
"44",298.399963378906,80.2038192749023,41.4335517883301
"45",333.347412109375,79.5990600585938,38.2655792236328
"46",315.788787841797,80.2607040405273,40.2250137329102
"47",299.082397460938,81.404182434082,41.4908485412598
"48",297.634613037109,81.4506301879883,41.502628326416
"49",310.956207275391,82.1324462890625,41.324104309082
"50",301.289825439453,81.8852920532227,41.5081176757812
"51",300.536773681641,81.9248580932617,41.506462097168
"52",296.932464599609,82.0677871704102,41.556713104248
"53",305.196319580078,82.3638076782227,41.5595016479492
"54",304.350311279297,82.3620452880859,41.5520782470703
"55",303.538116455078,82.3790664672852,41.5455169677734
"56",302.764190673828,82.3967056274414,41.5382766723633
"57",301.973754882812,82.4304046630859,41.5271224975586
"58",296.281158447266,82.6372299194336,41.6035690307617
"59",309.141052246094,83.0995712280273,41.4335060119629
"60",308.096038818359,83.0186157226562,41.4793968200684
"61",307.038299560547,82.9520263671875,41.4996757507324
"62",295.668121337891,83.1734085083008,41.679386138916
"63",349.9228515625,69.2150650024414,38.6573295593262
"64",350.068359375,69.9270095825195,38.6029243469238
"65",350.228607177734,70.7161712646484,38.5671844482422
"66",350.383575439453,71.4951858520508,38.4974822998047
"67",350.537292480469,72.3248291015625,38.4694519042969
"68",349.967742919922,73.332405090332,38.6459770202637
"69",350.065490722656,74.2424545288086,38.6438827514648
"70",350.115936279297,75.1722869873047,38.6705856323242
"71",350.935668945312,75.6831283569336,38.4427528381348
"72",350.158630371094,76.0533142089844,38.6944389343262
"73",353.4443359375,75.3970336914062,37.7476959228516
"74",352.897735595703,75.6261138916016,37.8897933959961
"75",352.315979003906,75.8751678466797,38.0737915039062
"76",351.671905517578,76.1900939941406,38.2544097900391
"77",349.209777832031,77.3586883544922,39.0108757019043
"78",347.29541015625,77.9264984130859,39.3685569763184
"79",345.586669921875,78.0097198486328,39.4419708251953
"80",344.768859863281,77.9330139160156,39.3889808654785
"81",343.979949951172,77.8253555297852,39.3344230651855
"82",343.198455810547,77.6997146606445,39.2417449951172
"83",342.431213378906,77.5645599365234,39.1338653564453
"84",341.684204101562,77.4193954467773,39.0297012329102
"85",348.194519042969,78.5101089477539,39.2447242736816
"86",341.112884521484,78.0401000976562,38.8776931762695
"87",337.462738037109,77.5761032104492,38.5897979736328
"88",336.705963134766,77.5330657958984,38.6094360351562
"89",335.938354492188,77.5189514160156,38.6925926208496
"90",327.734832763672,77.6648788452148,39.6154594421387
"91",339.789947509766,78.5223236083984,38.6971321105957
"92",338.292694091797,78.33447265625,38.6140327453613
"93",331.296539306641,78.2995376586914,39.4814224243164
"94",298.587188720703,79.7970733642578,42.1777992248535
"95",339.169189453125,79.1539764404297,38.6492042541504
"96",333.644561767578,78.9353713989258,39.2037048339844
"97",313.515563964844,80.2706527709961,41.6992950439453
"98",339.285827636719,79.8496551513672,38.6549491882324
"99",315.290893554688,80.4692611694336,41.2337188720703
"100",314.730041503906,80.5987243652344,41.3736610412598
"101",312.982757568359,80.9485168457031,41.8152198791504
"102",312.417877197266,81.598876953125,41.9211082458496
"103",311.740173339844,81.6736297607422,42.0348739624023
"104",310.1513671875,81.7148208618164,42.2330169677734
"105",310.186401367188,82.7428436279297,42.1704216003418
"106",306.195556640625,83.0232391357422,42.2594757080078
"107",347.517944335938,67.0568542480469,40.2042846679688
"108",349.118103027344,68.6233825683594,39.9356842041016
