"","X","Y","Z"
"1",324.283813476562,86.2584609985352,30.4137573242188
"2",325.146026611328,86.7358169555664,30.2507953643799
"3",318.782104492188,85.7651443481445,31.4374942779541
"4",321.376983642578,85.9074096679688,31.562614440918
"5",320.747436523438,85.9932250976562,31.5666618347168
"6",320.105743408203,86.0843048095703,31.5578098297119
"7",319.464691162109,86.1764526367188,31.5248908996582
"8",323.500823974609,86.2059707641602,31.4660758972168
"9",322.827697753906,86.2780227661133,31.5279178619385
"10",322.16650390625,86.3611526489258,31.5632705688477
"11",326.490417480469,87.0119781494141,30.9098148345947
"12",325.852172851562,87.0486145019531,31.0599250793457
"13",329.525848388672,87.428092956543,29.8951549530029
"14",328.98583984375,87.4290618896484,30.1016712188721
"15",327.270874023438,87.4710159301758,30.6693954467773
"16",318.16015625,85.6936721801758,32.341968536377
"17",328.294586181641,87.2793273925781,31.4107112884521
"18",327.716094970703,87.2954330444336,31.6056289672852
"19",330.076080322266,87.6830825805664,30.8660106658936
"20",330.6953125,88.0840454101562,30.7190456390381
"21",331.849060058594,88.8320617675781,30.5606803894043
"22",317.622283935547,86.1508865356445,33.2946739196777
"23",317.017120361328,86.2266616821289,33.268871307373
"24",316.430206298828,86.2944259643555,33.2458457946777
"25",315.840209960938,86.3827362060547,33.218563079834
"26",315.249237060547,86.4649810791016,33.1911697387695
"27",331.211761474609,88.3733901977539,31.7834873199463
"28",332.855834960938,89.142578125,31.571834564209
"29",332.378509521484,89.1611862182617,31.6756896972656
"30",333.883026123047,89.536865234375,31.4494533538818
"31",333.410614013672,89.5400314331055,31.5516052246094
"32",314.692047119141,86.4268646240234,34.1074523925781
"33",313.003875732422,87.7493515014648,34.1655540466309
"34",334.371551513672,89.5246734619141,32.4716262817383
"35",335.46728515625,90.3640518188477,32.4087562561035
"36",336.027557373047,91.2629470825195,32.4082641601562
"37",314.186859130859,86.9596862792969,35.0715522766113
"38",313.644317626953,87.5801315307617,35.1057434082031
